,Date,Price,Open,High,Low,Vol.,Change %,realbody,range,bullish_pinbar,bearish_three-line_strike,bullish_pinbar_success,bearish_three-line_strike_success
137,"May 18, 2021",42897.3,43538.5,45770.9,42293.9,154.96K,-1.48%,641.1999999999971,3477.0,False,False,,
138,"May 19, 2021",36720.5,42898.3,43516.6,30261.7,607.10K,-14.40%,6177.800000000003,13254.899999999998,False,False,,
139,"May 20, 2021",40717.2,36706.8,42425.9,35010.4,269.75K,10.88%,-4010.399999999994,7415.5,False,False,,
140,"May 21, 2021",37297.4,40611.2,42108.3,33592.3,315.50K,-8.40%,3313.7999999999956,8516.0,False,False,,
141,"May 22, 2021",37448.3,37291.0,38776.0,35314.9,185.83K,0.40%,-157.3000000000029,3461.0999999999985,False,False,,
142,"May 23, 2021",34679.7,37446.8,38248.7,31192.4,325.73K,-7.39%,2767.100000000006,7056.299999999996,False,False,,
143,"May 24, 2021",38750.6,34720.3,39851.7,34474.6,244.88K,11.74%,-4030.2999999999956,5377.0999999999985,False,False,,
144,"May 25, 2021",38378.3,38753.6,39740.8,36540.7,163.01K,-0.96%,375.29999999999563,3200.100000000006,False,False,,
145,"May 26, 2021",39249.2,38375.7,40750.0,37847.0,153.80K,2.27%,-873.5,2903.0,False,False,,
146,"May 27, 2021",38417.3,39249.0,40322.2,37190.8,122.93K,-2.12%,831.6999999999971,3131.399999999994,False,False,,
147,"May 28, 2021",35662.5,38543.2,38844.1,34772.4,199.58K,-7.17%,2880.699999999997,4071.699999999997,False,False,,
148,"May 29, 2021",34584.6,35664.5,37227.1,33664.2,160.43K,-3.02%,1079.9000000000015,3562.9000000000015,False,False,,
149,"May 30, 2021",35652.8,34589.3,36388.6,33441.0,104.18K,3.09%,-1063.5,2947.5999999999985,False,False,,
150,"May 31, 2021",37298.6,35644.0,37480.7,34213.2,131.70K,4.62%,-1654.5999999999985,3267.5,False,False,,
151,"Jun 01, 2021",36687.6,37294.3,37850.3,35742.7,113.48K,-1.64%,606.7000000000044,2107.600000000006,False,False,,
152,"Jun 02, 2021",37555.8,36687.7,38199.9,35981.1,96.89K,2.37%,-868.1000000000058,2218.800000000003,False,False,,
153,"Jun 03, 2021",39187.3,37555.7,39462.3,37193.6,106.44K,4.34%,-1631.6000000000058,2268.7000000000044,False,False,,
154,"Jun 04, 2021",36851.3,39191.4,39255.4,35659.9,127.71K,-5.96%,2340.0999999999985,3595.5,False,False,,
155,"Jun 05, 2021",35520.0,36841.2,37887.6,34832.0,101.48K,-3.61%,1321.199999999997,3055.5999999999985,False,False,,
156,"Jun 06, 2021",35815.4,35518.7,36434.0,35265.3,62.20K,0.83%,-296.70000000000437,1168.699999999997,False,False,,
157,"Jun 07, 2021",33578.0,35815.4,36754.6,33410.1,119.50K,-6.25%,2237.4000000000015,3344.5,False,False,,
158,"Jun 08, 2021",33382.9,33574.6,34047.8,31158.1,193.54K,-0.58%,191.6999999999971,2889.7000000000044,False,False,,
159,"Jun 09, 2021",37332.2,33385.5,37517.6,32428.6,209.82K,11.83%,-3946.699999999997,5089.0,True,False,False,
160,"Jun 10, 2021",36649.4,37375.2,38340.8,35824.0,154.32K,-1.83%,725.7999999999956,2516.800000000003,False,False,,
161,"Jun 11, 2021",37314.6,36654.3,37641.1,36003.3,109.15K,1.81%,-660.2999999999956,1637.7999999999956,False,False,,
162,"Jun 12, 2021",35467.5,37334.4,37437.3,34703.3,87.73K,-4.95%,1866.9000000000015,2734.0,False,False,,
163,"Jun 13, 2021",39022.9,35467.5,39321.6,34827.0,123.32K,10.02%,-3555.4000000000015,4494.5999999999985,False,False,,
164,"Jun 14, 2021",40529.4,39024.1,40970.4,38769.9,157.35K,3.86%,-1505.300000000003,2200.5,False,False,,
165,"Jun 15, 2021",40156.1,40522.5,41318.0,39589.9,117.55K,-0.92%,366.40000000000146,1728.0999999999985,False,False,,
166,"Jun 16, 2021",38336.0,40148.1,40494.4,38156.4,123.52K,-4.53%,1812.0999999999985,2338.0,False,False,,
167,"Jun 17, 2021",38052.0,38337.8,39529.9,37425.3,109.58K,-0.74%,285.8000000000029,2104.5999999999985,False,False,,
168,"Jun 18, 2021",35749.4,38045.5,38166.0,35198.5,102.84K,-6.05%,2296.0999999999985,2967.5,False,False,,
169,"Jun 19, 2021",35513.4,35770.0,36357.3,34845.5,105.46K,-0.66%,256.59999999999854,1511.800000000003,False,False,,
170,"Jun 20, 2021",35595.8,35510.9,36097.9,33378.0,137.48K,0.23%,-84.90000000000146,2719.9000000000015,False,False,,
171,"Jun 21, 2021",31692.0,35597.9,35708.4,31284.1,256.87K,-10.97%,3905.9000000000015,4424.300000000003,False,False,,
172,"Jun 22, 2021",32496.4,31682.7,33272.5,28901.8,309.65K,2.54%,-813.7000000000007,4370.700000000001,False,False,,
173,"Jun 23, 2021",33674.3,32498.3,34784.3,31736.5,173.34K,3.62%,-1176.0000000000036,3047.800000000003,False,False,,
174,"Jun 24, 2021",34665.8,33678.1,35249.9,32356.7,119.25K,2.94%,-987.7000000000044,2893.2000000000007,False,False,,
175,"Jun 25, 2021",31594.0,34660.5,35490.9,31337.9,193.43K,-8.86%,3066.5,4153.0,False,False,,
176,"Jun 26, 2021",32243.4,31592.1,32643.0,30206.9,156.67K,2.06%,-651.3000000000029,2436.0999999999985,False,False,,
177,"Jun 27, 2021",34678.5,32247.1,34685.5,32041.7,148.80K,7.55%,-2431.4000000000015,2643.7999999999993,False,False,,
178,"Jun 28, 2021",34475.9,34682.2,35231.2,33944.9,112.00K,-0.58%,206.29999999999563,1286.2999999999956,False,False,,
179,"Jun 29, 2021",35834.7,34477.3,36590.3,34247.6,97.27K,3.94%,-1357.3999999999942,2342.7000000000044,False,False,,
180,"Jun 30, 2021",35026.9,35832.6,36089.5,34126.6,107.07K,-2.25%,805.6999999999971,1962.9000000000015,False,False,,
181,"Jul 01, 2021",33543.6,35030.7,35032.7,32839.2,27.41K,-4.23%,1487.0999999999985,2193.5,False,False,,
182,"Jul 02, 2021",33813.4,33542.2,33925.9,32734.6,78.93K,0.80%,-271.20000000000437,1191.300000000003,False,False,,
183,"Jul 03, 2021",34742.8,33814.2,34909.8,33363.3,55.69K,2.75%,-928.6000000000058,1546.5,False,False,,
184,"Jul 04, 2021",35298.2,34742.8,35957.6,34740.1,56.13K,1.60%,-555.3999999999942,1217.5,False,False,,
185,"Jul 05, 2021",33687.8,35297.0,35300.5,33164.1,88.36K,-4.56%,1609.199999999997,2136.4000000000015,False,False,,
186,"Jul 06, 2021",34225.6,33688.5,35062.0,33581.7,83.63K,1.60%,-537.0999999999985,1480.300000000003,False,False,,
187,"Jul 07, 2021",33867.8,34228.7,35036.6,33801.3,72.03K,-1.05%,360.8999999999942,1235.2999999999956,False,False,,
188,"Jul 08, 2021",32866.3,33859.4,33923.2,32146.9,108.09K,-2.96%,993.0999999999985,1776.2999999999956,False,False,,
189,"Jul 09, 2021",33797.4,32866.3,34079.2,32367.0,67.14K,2.83%,-931.0999999999985,1712.199999999997,False,False,,
190,"Jul 10, 2021",33510.6,33797.7,34221.0,33056.8,50.94K,-0.85%,287.09999999999854,1164.199999999997,False,False,,
191,"Jul 11, 2021",34227.7,33510.8,34580.6,33319.8,35.72K,2.14%,-716.8999999999942,1260.7999999999956,False,False,,
192,"Jul 12, 2021",33113.0,34228.3,34598.0,32662.8,63.24K,-3.26%,1115.300000000003,1935.2000000000007,False,False,,
193,"Jul 13, 2021",32728.1,33106.1,33307.7,32259.5,60.04K,-1.16%,378.0,1048.199999999997,False,False,,
194,"Jul 14, 2021",32820.7,32727.8,33051.9,31611.2,69.56K,0.28%,-92.89999999999782,1440.7000000000007,False,False,,
195,"Jul 15, 2021",31840.5,32820.5,33157.0,31175.8,76.95K,-2.99%,980.0,1981.2000000000007,False,False,,
196,"Jul 16, 2021",31394.0,31842.3,32239.8,31062.2,70.48K,-1.40%,448.2999999999993,1177.5999999999985,False,False,,
197,"Jul 17, 2021",31518.6,31384.4,31914.8,31207.8,58.06K,0.40%,-134.1999999999971,707.0,False,False,,
198,"Jul 18, 2021",31785.4,31517.9,32408.2,31220.6,57.01K,0.85%,-267.5,1187.6000000000022,False,False,,
199,"Jul 19, 2021",30837.2,31782.9,31887.0,30478.2,77.48K,-2.98%,945.7000000000007,1408.7999999999993,False,False,,
200,"Jul 20, 2021",29793.8,30835.4,31040.8,29310.2,97.46K,-3.38%,1041.6000000000022,1730.5999999999985,False,False,,
201,"Jul 21, 2021",32131.4,29794.7,32794.6,29519.3,118.34K,7.85%,-2336.7000000000007,3275.2999999999993,False,False,,
202,"Jul 22, 2021",32298.9,32131.7,32585.4,31729.4,64.87K,0.52%,-167.20000000000073,856.0,False,False,,
203,"Jul 23, 2021",33603.3,32297.9,33605.6,32041.1,66.15K,4.04%,-1305.4000000000015,1564.5,False,False,,
204,"Jul 24, 2021",33824.8,33600.5,33955.0,33412.9,67.14K,0.66%,-224.3000000000029,542.0999999999985,False,False,,
205,"Jul 25, 2021",35391.1,34392.5,35391.1,33881.3,65.10K,4.63%,-998.5999999999985,1509.7999999999956,False,False,,
206,"Jul 26, 2021",37276.6,35392.3,40522.9,35236.7,177.63K,5.33%,-1884.2999999999956,5286.200000000004,False,False,,
